PackageName,Status,InputPath,OutputPath,OutputBytes,ElapsedMilliseconds
@vue__runtime-dom--runtime-dom-3.5.34,repacked,../data/unpacked_2500/@vue__runtime-dom--runtime-dom-3.5.34,../data/repacked_xz_2500/@vue__runtime-dom--runtime-dom-3.5.34.tar.xz,162700,278.47108300193213
@vue__server-renderer--server-renderer-3.5.34,repacked,../data/unpacked_2500/@vue__server-renderer--server-renderer-3.5.34,../data/repacked_xz_2500/@vue__server-renderer--server-renderer-3.5.34.tar.xz,79948,87.16704200196546
@vue__shared--shared-3.5.34,repacked,../data/unpacked_2500/@vue__shared--shared-3.5.34,../data/repacked_xz_2500/@vue__shared--shared-3.5.34.tar.xz,13644,22.71070799906738
@webassemblyjs__ast--ast-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__ast--ast-1.14.1,../data/repacked_xz_2500/@webassemblyjs__ast--ast-1.14.1.tar.xz,21984,49.33100000198465
@webassemblyjs__floating-point-hex-parser--floating-point-hex-parser-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__floating-point-hex-parser--floating-point-hex-parser-1.14.1,../data/repacked_xz_2500/@webassemblyjs__floating-point-hex-parser--floating-point-hex-parser-1.14.1.tar.xz,2940,9.93741600541398
@webassemblyjs__helper-api-error--helper-api-error-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__helper-api-error--helper-api-error-1.14.1,../data/repacked_xz_2500/@webassemblyjs__helper-api-error--helper-api-error-1.14.1.tar.xz,2960,10.17441600561142
@webassemblyjs__helper-buffer--helper-buffer-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__helper-buffer--helper-buffer-1.14.1,../data/repacked_xz_2500/@webassemblyjs__helper-buffer--helper-buffer-1.14.1.tar.xz,3288,10.406832996523008
@webassemblyjs__helper-code-frame--helper-code-frame-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__helper-code-frame--helper-code-frame-1.14.1,../data/repacked_xz_2500/@webassemblyjs__helper-code-frame--helper-code-frame-1.14.1.tar.xz,2228,8.773542009294033
@webassemblyjs__helper-fsm--helper-fsm-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__helper-fsm--helper-fsm-1.14.1,../data/repacked_xz_2500/@webassemblyjs__helper-fsm--helper-fsm-1.14.1.tar.xz,3236,9.70895800855942
@webassemblyjs__helper-module-context--helper-module-context-1.9.1,repacked,../data/unpacked_2500/@webassemblyjs__helper-module-context--helper-module-context-1.9.1,../data/repacked_xz_2500/@webassemblyjs__helper-module-context--helper-module-context-1.9.1.tar.xz,4996,13.962124998215586
@webassemblyjs__helper-numbers--helper-numbers-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__helper-numbers--helper-numbers-1.14.1,../data/repacked_xz_2500/@webassemblyjs__helper-numbers--helper-numbers-1.14.1.tar.xz,2780,10.223334000329487
@webassemblyjs__helper-wasm-bytecode--helper-wasm-bytecode-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__helper-wasm-bytecode--helper-wasm-bytecode-1.14.1,../data/repacked_xz_2500/@webassemblyjs__helper-wasm-bytecode--helper-wasm-bytecode-1.14.1.tar.xz,4300,14.482999991741963
@webassemblyjs__helper-wasm-section--helper-wasm-section-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__helper-wasm-section--helper-wasm-section-1.14.1,../data/repacked_xz_2500/@webassemblyjs__helper-wasm-section--helper-wasm-section-1.14.1.tar.xz,4408,13.815875005093403
@webassemblyjs__ieee754--ieee754-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__ieee754--ieee754-1.14.1,../data/repacked_xz_2500/@webassemblyjs__ieee754--ieee754-1.14.1.tar.xz,2288,9.992708000936545
@webassemblyjs__leb128--leb128-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__leb128--leb128-1.14.1,../data/repacked_xz_2500/@webassemblyjs__leb128--leb128-1.14.1.tar.xz,9804,18.254458002047613
@webassemblyjs__utf8--utf8-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__utf8--utf8-1.14.1,../data/repacked_xz_2500/@webassemblyjs__utf8--utf8-1.14.1.tar.xz,3480,13.081583005259745
@webassemblyjs__wasm-edit--wasm-edit-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__wasm-edit--wasm-edit-1.14.1,../data/repacked_xz_2500/@webassemblyjs__wasm-edit--wasm-edit-1.14.1.tar.xz,6748,14.858374997857027
@webassemblyjs__wasm-gen--wasm-gen-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__wasm-gen--wasm-gen-1.14.1,../data/repacked_xz_2500/@webassemblyjs__wasm-gen--wasm-gen-1.14.1.tar.xz,5092,14.259417002904229
