__run_id,__done,alg,subject,energy-pkg,energy-ram,execution-time
run_50_repetition_12,DONE,zopfli,zopfli/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tgz,78.33,9.42,1.231749274
run_98_repetition_7,DONE,brotli,brotli/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tar.br,43.76,5.31,0.682866196
run_47_repetition_20,DONE,zopfli,zopfli/next--next-16.2.6.tgz,81.77,9.82,1.280652172
run_13_repetition_27,DONE,npm,npm/@esbuild__win32-x64--win32-x64-0.28.0.tgz,7.86,0.92,0.122676339
run_100_repetition_27,DONE,brotli,brotli/@esbuild__openbsd-x64--openbsd-x64-0.28.0.tar.br,5.94,0.71,0.092729877
run_20_repetition_4,DONE,npm,npm/aws-sdk--aws-sdk-2.1693.0.tgz,37.54,4.52,0.584527767
run_67_repetition_0,DONE,zstd,zstd/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tar.zst,29.23,3.51,0.439431385
run_27_repetition_13,DONE,xz,xz/@next__swc-win32-x64-msvc--swc-win32-x64-msvc-16.2.6.tar.xz,173.83,20.74,2.730194136
run_70_repetition_9,DONE,zstd,zstd/@esbuild__win32-x64--win32-x64-0.28.0.tar.zst,3.31,0.4,0.050196706
run_74_repetition_1,DONE,zstd,zstd/@esbuild__darwin-x64--darwin-x64-0.28.0.tar.zst,3.31,0.39,0.049959469
run_80_repetition_26,DONE,zstd,zstd/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tar.zst,26.36,3.13,0.396824602
run_77_repetition_3,DONE,zstd,zstd/@esbuild__linux-s390x--linux-s390x-0.28.0.tar.zst,3.28,0.39,0.048847525
run_21_repetition_7,DONE,xz,xz/@esbuild__win32-ia32--win32-ia32-0.28.0.tar.xz,22.74,2.71,0.356572688
run_3_repetition_26,DONE,npm,npm/@next__swc-win32-ia32-msvc--swc-win32-ia32-msvc-14.2.16.tgz,52.16,6.28,0.815667136
run_48_repetition_21,DONE,zopfli,zopfli/@next__swc-linux-arm64-gnu--swc-linux-arm64-gnu-16.2.6.tgz,74.93,8.95,1.171126476
run_4_repetition_25,DONE,npm,npm/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tgz,70.39,8.39,1.099804602
run_75_repetition_13,DONE,zstd,zstd/@esbuild__freebsd-x64--freebsd-x64-0.28.0.tar.zst,3.21,0.39,0.048539399
run_62_repetition_7,DONE,zopfli,zopfli/aws-sdk--aws-sdk-2.1693.0.tgz,38.54,4.65,0.605198515
run_59_repetition_13,DONE,zopfli,zopfli/typescript--typescript-6.0.3.tgz,11.28,1.36,0.177919068
run_83_repetition_29,DONE,zstd,zstd/@esbuild__sunos-x64--sunos-x64-0.28.0.tar.zst,3.22,0.38,0.048482617
run_33_repetition_9,DONE,xz,xz/@esbuild__linux-x64--linux-x64-0.28.0.tar.xz,22.72,2.72,0.356778762
run_49_repetition_5,DONE,zopfli,zopfli/@esbuild__sunos-x64--sunos-x64-0.28.0.tgz,8.01,0.96,0.124936741
run_30_repetition_22,DONE,xz,xz/next--next-16.2.6.tar.xz,73.13,8.84,1.143463655
run_64_repetition_4,DONE,zstd,zstd/@esbuild__linux-x64--linux-x64-0.28.0.tar.zst,3.24,0.38,0.048911457
run_99_repetition_20,DONE,brotli,brotli/@next__swc-win32-ia32-msvc--swc-win32-ia32-msvc-14.2.16.tar.br,30.1,3.66,0.46875817
run_45_repetition_23,DONE,zopfli,zopfli/@next__swc-win32-ia32-msvc--swc-win32-ia32-msvc-14.2.16.tgz,54.65,6.56,0.858282712
run_98_repetition_19,DONE,brotli,brotli/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tar.br,43.57,5.26,0.679698172
run_17_repetition_12,DONE,npm,npm/@esbuild__darwin-x64--darwin-x64-0.28.0.tgz,7.88,0.94,0.122736813
run_35_repetition_16,DONE,xz,xz/@next__swc-darwin-arm64--swc-darwin-arm64-16.2.6.tar.xz,146.7,17.51,2.299619136
run_98_repetition_25,DONE,brotli,brotli/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tar.br,43.83,5.3,0.682081337
run_29_repetition_3,DONE,xz,xz/@esbuild__netbsd-x64--netbsd-x64-0.28.0.tar.xz,22.93,2.77,0.359377039
run_31_repetition_25,DONE,xz,xz/@esbuild__openbsd-x64--openbsd-x64-0.28.0.tar.xz,23.21,2.77,0.363934148
run_11_repetition_23,DONE,npm,npm/@esbuild__netbsd-x64--netbsd-x64-0.28.0.tgz,7.74,0.92,0.120383332
run_43_repetition_1,DONE,zopfli,zopfli/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tgz,65.2,7.86,1.023334151
run_63_repetition_9,DONE,zstd,zstd/next--next-16.2.6.tar.zst,20.55,2.48,0.301974041
run_44_repetition_17,DONE,zopfli,zopfli/@esbuild__win32-ia32--win32-ia32-0.28.0.tgz,7.79,0.94,0.122409798
run_4_repetition_5,DONE,npm,npm/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tgz,70.61,8.51,1.100652888
run_90_repetition_6,DONE,brotli,brotli/@esbuild__netbsd-x64--netbsd-x64-0.28.0.tar.br,5.93,0.7,0.09270774
run_20_repetition_8,DONE,npm,npm/aws-sdk--aws-sdk-2.1693.0.tgz,37.98,4.54,0.585828008
